feature,coefficient
model_Multivan,1.4535871513408045
model_Nano,-1.4050429019151947
model_Willys,1.1546404597113695
model_Gypsy,0.8407948896566949
brand_BMW,0.7628220859782605
model_Harrier,0.6904725350742491
model_Land,0.6857559307858523
model_KWID,-0.6586300109619218
brand_Volvo,0.6411534188911305
model_800,-0.6328455000652085
brand_Mercedes-Benz,0.6270081807235436
model_Tucson,0.6203974434892096
model_Santa,0.6115733115635752
model_EON,-0.5815516998323804
model_Spark,-0.5814077910057038
brand_Datsun,-0.5588289284733402
brand_Audi,0.5569853864395189
brand_Fiat,-0.534797096491197
model_Jeep,0.5309623263834697
model_Fusion,-0.5176170562105885
model_Winger,0.5142375040662243
model_Tavera,0.5113514401000807
model_Palio,-0.5109997763224886
model_Beat,-0.5080915518175292
model_Aveo,-0.5056459742263044
model_Endeavour,0.48914859058953414
brand_Tata,-0.4873384058052816
brand_Chevrolet,-0.4869282351840381
owner_Test Drive Car,0.4848982434495938
model_Matiz,-0.48319931969729907
brand_Daewoo,-0.48319931969729907
model_CrossPolo,-0.4658589408355476
model_Spacio,-0.46473199246197544
model_RediGO,-0.4621628902834947
model_Rover,0.4597195156219985
brand_Land,0.4597195156219985
model_Indica,-0.4491262489790738
model_Getz,-0.44788777891049814
model_Ameo,-0.4413184675825178
brand_Jaguar,0.43966830858152506
model_KUV,-0.4311280151536185
model_Hexa,0.42883297147728083
year,0.4271184240667374
model_CR-V,0.4211969225051323
model_ES,0.42038394965699394
brand_Lexus,0.42038394965699394
model_Fabia,-0.41722783751067116
model_Glanza,-0.41718792753050415
model_X6,0.4089923790976934
model_X4,0.40840991550605743
brand_Maruti,-0.40502704063236517
model_XL6,0.3966224363186834
model_Santro,-0.39050610357525095
model_Brio,-0.3796023627259018
model_S90,0.37508474660713137
model_Quanto,-0.3700107446400474
model_Etios,-0.369786305184845
model_Creta,0.36820827831617514
model_Alto,-0.3649599109375435
model_Captiva,0.36289533760854187
model_Passat,0.3569920832758677
model_Ertiga,0.356601609807731
model_Fortuner,0.3562821069642487
model_Xylo,-0.35610807207307216
model_GL-Class,0.35593072405975124
model_Omni,-0.34850610632082135
model_Renault,-0.34175859207802567
model_Polo,-0.3356527331211166
model_Verito,-0.33504791600142914
model_Zen,-0.3325682779627216
brand_Ford,-0.32888647163455276
model_Platinum,-0.3152555225990168
model_Amaze,-0.3144535316581649
model_Wrangler,0.3107303807937095
model_Logan,-0.3081510114704252
model_Koleos,0.30743047147993724
model_Yeti,0.29714185144193017
model_M-Class,0.2954806267420705
model_309,-0.28513996939996344
brand_Peugeot,-0.28513996939996344
model_Vento,-0.28135379277109773
model_Supro,-0.27806083858910924
model_Accent,-0.2763316261782607
model_Micra,-0.2741718837781741
model_GTI,-0.2734307541681252
model_XF,0.2709804864374035
model_Laura,-0.26773214954770436
model_Ciaz,0.2652237252887912
brand_Jeep,0.2640262987812123
brand_Hyundai,-0.261717067337366
model_CLASSIC,-0.2571274209295461
model_i10,-0.2568758095363774
model_S-Cross,0.2541305883810276
model_E-Class,0.24073563187782202
model_Vitara,0.24068274546685797
model_Venture,-0.2390430237528224
model_Superb,0.23456359188895873
model_Nexon,0.2323630746806637
model_Pajero,0.23225913081327004
model_Captur,0.23029040522560487
brand_Nissan,-0.2283574030051317
model_Estilo,-0.21670799379090253
model_Sail,-0.21669165697148476
model_S-Class,0.2164386677265749
model_Indigo,-0.21591012013623537
model_Pulse,-0.21559344862192129
model_XUV500,0.21447029659421002
model_Dzire,-0.2125282485247486
brand_Renault,-0.21037677794496845
max_power,0.2092086257192641
model_MU,-0.20450907806143284
model_Fluence,0.20398477078255775
model_Esteem,-0.20308220266392923
model_Aria,0.20025224070837683
model_Hector,0.19251972663938433
brand_MG,0.19251972663938433
model_Kicks,0.19246277976264786
model_EcoSport,0.18690792997440986
model_A6,0.18523552770041193
model_Sumo,-0.18065519600979962
brand_Mitsubishi,0.18033472575090262
model_Figo,-0.1802784382119016
model_Scorpio,0.17915644860958888
model_Wagon,-0.17726357274855764
model_Innova,0.17676670389343482
owner_Fourth & Above Owner,-0.17209906151149756
model_Swift,0.17132376929852772
model_X3,0.17114748332739993
model_6,0.16950009339043456
model_XE,0.1686878221441209
model_Q5,0.16643255251229264
brand_Toyota,0.16496340374023996
model_Tiago,-0.1610873341461472
model_Teana,-0.16021409932271968
model_Manza,-0.1586316670843864
model_Triber,-0.1581188991284585
model_Jazz,-0.15809422835527748
model_Elantra,0.15504169505547805
model_One,-0.15481167818639016
model_D-Max,0.15457748710565014
brand_Skoda,-0.15317551366667842
brand_Mahindra,-0.1488301898400746
model_3,-0.1482603710011905
model_Terrano,0.14821580223187414
model_Celerio,-0.14574463774568683
model_X1,-0.14519816871091298
model_Ecosport,0.14438356596848226
model_Baleno,0.14392016055495283
brand_Honda,-0.14366129007201886
model_Optra,0.1404200484851145
model_Camry,0.14023473618200974
owner_Third Owner,-0.14007020385741747
model_S-Presso,-0.13991566759209315
model_Sunny,-0.13465000189875623
model_Grand,-0.1329245044059074
model_Xcent,-0.1305164179671092
model_Trailblazer,0.13041600980808526
model_Marshal,0.12967958625625442
model_NuvoSport,-0.1283113233681031
model_S60,0.1269317506275085
model_Ssangyong,0.12641639334137855
model_7,-0.12630141049109542
model_Accord,0.12493896700826776
model_Eeco,-0.1229697074576909
model_Q7,0.12194317840058243
model_Punto,-0.11781316818978872
owner_Second Owner,-0.11527166662222324
model_Xenon,0.11514932383332169
model_BRV,0.11295847854542233
model_SX4,0.10795060012021125
model_Ritz,-0.10731038108609331
model_XC90,0.10596905811885013
model_Cruze,0.1059659379251266
model_Safari,0.1042730967780549
model_MUX,0.1036067343088387
model_A-Star,-0.1008507139638569
model_Mobilio,-0.10058673453004628
model_New,0.09709872314497495
model_GO,-0.09666603818984607
model_Venue,0.09654318606832445
model_Freestyle,-0.0963643403211692
model_XUV300,0.09595738132953117
fuel_Petrol,-0.0948065927552734
model_Corolla,-0.09010937426293375
model_Octavia,0.08511457704883753
model_A3,0.08509052859404465
model_Rapid,-0.08503554698802832
engine,-0.08481734058721997
model_Gurkha,0.0788466865994636
model_Yaris,-0.07847923892837161
fuel_Diesel,0.07713891574110386
model_Ignis,-0.07702464466658039
brand_Force,-0.07596499158692681
model_Qualis,0.07508467655416404
model_TUV,-0.07507097266772374
model_XC40,0.07473937611660009
model_Verna,0.07456218144797123
model_Enjoy,0.0738599649101672
model_i20,0.07211826558881605
model_5,0.07189252650639108
model_Civic,0.07144422139051233
model_Avventura,0.06977564653500161
fuel_LPG,0.06859380176563513
model_Estate,0.06497555740471908
model_City,0.059807195483934275
model_Grande,0.0588641718454021
year max_power,0.05797400061588291
owner_First Owner,-0.0574573114534078
brand_Isuzu,0.053675143353055794
model_Lodgy,0.052461230718139275
model_Lancer,-0.051924405062367375
model_Sonata,-0.05096356792526026
fuel_CNG,-0.05092612474499093
model_Zest,-0.05056248594271542
engine^2,0.049474795304386074
max_power torque,-0.048887050627991674
model_X7,-0.04736036164649104
model_Compass,-0.04670408201249482
model_Aspire,-0.04669057886749114
model_Marazzo,0.04567883777908625
transmission_Automatic,0.04349654016253594
transmission_Manual,-0.04349654016126809
mileage,0.043201618957110804
model_Bolero,0.04262517352069443
model_CLA,-0.042532546901538924
model_V40,-0.0415715125789615
model_GLC,-0.039634343085049546
model_Bolt,-0.03803314746004845
engine torque,0.037819582177099256
model_Duster,0.03602210034886557
model_Linea,-0.034623970359326794
brand_Ambassador,0.03432165023254793
model_Tigor,0.032543565785237254
model_GLA,-0.03133843986271201
model_Ingenio,-0.03118633300391344
seats,0.028043293360232185
model_B,0.027214979296489868
year km_driven,0.026483009329780576
km_per_year,-0.02636141415726612
km_driven,-0.025083019767057763
model_BR-V,0.020807850493058177
model_Fiesta,-0.02072419699436426
max_torque_rpm^2,0.01814867673811222
mileage torque,-0.017432055383780898
power_per_liter,-0.01725988093076373
model_Elite,0.01720655259088095
model_Ikon,-0.01641062049234744
brand_Kia,-0.0162394978598299
model_Seltos,-0.0162394978598299
max_power^2,0.01582683359604702
max_torque_rpm power_per_liter,-0.015280886518389311
seats^2,-0.013616913242092193
model_Thar,-0.013583274319919016
km_driven max_power,0.013357822223992462
mileage engine,0.012335967537379354
year^2,0.011361903438215502
mileage max_power,0.011139730084753273
brand_Volkswagen,0.01088640424077316
year engine,-0.010418482240779214
model_Classic,0.010397270966633107
power_per_liter km_per_year,-0.010142285897040556
seats km_per_year,-0.00939497166980043
km_driven torque,-0.009093308913374525
year mileage,-0.008821132925342905
seller_type_Individual,-0.008653196168372434
max_torque_rpm,0.008528024853288279
torque,-0.00822601352904007
model_Scala,-0.008223397787772327
seats power_per_liter,-0.007143977415155926
year torque,0.005765407842471688
seller_type_Dealer,0.005360146073418385
engine max_power,-0.00476464567967602
km_driven mileage,-0.004252891494346486
seats max_torque_rpm,-0.004124206257042992
mileage^2,0.004120467807522273
max_torque_rpm km_per_year,-0.004111295773668368
model_Q3,-0.003767815239011808
seller_type_Trustmark Dealer,0.003293050097069607
power_per_liter^2,0.002609794640085282
km_driven engine,0.0024742311438226837
km_per_year^2,0.0022701251544565452
model_Jetta,-0.002078141897494167
model_WR-V,-0.002078068228944162
model_A4,0.0020514144711849406
km_driven^2,-0.001992955873034913
model_Premio,0.0016576178661003374
torque^2,-0.0014543165868717014
